deal_id,action,status_code,sucesso,resposta,tentativas
108127,Cancel,200,True,"{""updatedTasks"":[""133293"",""133289"",""133287"",""133291"",""133261""],""errors"":[{""taskId"":""133263"",""error"":""Group ID or action not found""}]}",1
104559,Cancel,200,True,"{""updatedTasks"":[""152681"",""132005""],""errors"":[{""taskId"":""132007"",""error"":""Group ID or action not found""}]}",1
101173,Cancel,200,True,"{""updatedTasks"":[""129865""],""errors"":[]}",3
72965,Cancel,200,True,"{""updatedTasks"":[""116313"",""116311""],""errors"":[]}",1
119607,Cancel,0,False,"Erro após 3 tentativas: HTTPSConnectionPool(host='bitrix.prime2b.digital', port=443): Read timed out. (read timeout=15)",3
87531,Cancel,200,True,"{""updatedTasks"":[""123413"",""123411""],""errors"":[]}",1
162569,Cancel,200,True,"{""updatedTasks"":[""166741"",""166745"",""166739""],""errors"":[{""taskId"":""166743"",""error"":""Group ID or action not found""}]}",1
84229,Cancel,200,True,"{""updatedTasks"":[""121761"",""121759""],""errors"":[]}",1
111281,Cancel,200,True,"{""updatedTasks"":[""135725"",""135727"",""135723""],""errors"":[]}",1
116861,Cancel,0,False,"Erro após 3 tentativas: HTTPSConnectionPool(host='bitrix.prime2b.digital', port=443): Read timed out. (read timeout=15)",3
133579,Cancel,0,False,"Erro após 3 tentativas: HTTPSConnectionPool(host='bitrix.prime2b.digital', port=443): Read timed out. (read timeout=15)",3
173497,Cancel,200,True,"{""updatedTasks"":[""171439"",""171435""],""errors"":[{""taskId"":""171437"",""error"":""Group ID or action not found""}]}",1
116643,Cancel,0,False,"Erro após 3 tentativas: HTTPSConnectionPool(host='bitrix.prime2b.digital', port=443): Read timed out. (read timeout=15)",3
