deal_id,deal_titulo,deal_etapa,tarefa_id,tarefa_titulo,grupo_id,data_criacao,status
75671,BaratoPaka Veículos ,C1:LOSE,117475,Execução de Serviço | Landing Page - Tráfego Pago - BaratoPaka Veículos,519,2025-05-15T17:12:39-03:00,5
84229,Vila Kids ,C1:LOSE,121761,Execução de Serviço | Landing Page - Tráfego Pago - Vila Kids,519,2025-06-06T16:16:10-03:00,5
91813,RS Soldas Especiais,C1:LOSE,125543,Execução de Serviço | Landing Page Sites - RS Soldas Especiais,519,2025-06-24T16:28:35-03:00,5
94531,Atlaas Móveis Planejados,C1:LOSE,127403,Execução de Serviço | Renovação Site - Atlaas Móveis Planejados,513,2025-07-01T16:17:38-03:00,5
98125,Nutribeef Agropecuária,C1:LOSE,130465,Execução de Serviço | Landing Page Sites - Nutribeef Agropecuária,519,2025-07-15T09:01:20-03:00,5
104559,Auto Mecânica Ribeiro,C1:LOSE,152681,Execução de Serviço | Renovação Site - Auto Mecânica Ribeiro,513,2025-10-06T17:36:27-03:00,5
108127,A.L.W Portões Eletrônicos ,C1:LOSE,133291,Execução de Serviço | Site - A.L.W Portões Eletrônicos,513,2025-07-25T15:43:29-03:00,5
111281,Lymary Store Jeans,C1:LOSE,135723,Execução de Serviço | Redes Sociais - Lymary Store Jeans,523,2025-08-01T15:31:32-03:00,5
111281,Lymary Store Jeans,C1:LOSE,135725,Execução de Serviço | Landing Page - Tráfego Pago - Lymary Store Jeans,519,2025-08-01T15:31:33-03:00,5
114413,E-Motos.Net Ltda,C1:LOSE,136597,Execução de Serviço | Redes Sociais - E-Motos.Net Ltda,523,2025-08-06T08:39:58-03:00,5
114413,E-Motos.Net Ltda,C1:LOSE,136599,Execução de Serviço | Landing Page - Tráfego Pago - E-Motos.Net Ltda,519,2025-08-06T08:40:01-03:00,5
115449,Doces Zezinho,C1:LOSE,137785,Execução de Serviço | Redes Sociais - Doces Zezinho,523,2025-08-11T11:36:11-03:00,5
115449,Doces Zezinho,C1:LOSE,137787,Execução de Serviço | Landing Page - Tráfego Pago - Doces Zezinho,519,2025-08-11T11:36:12-03:00,5
118155,Cervejaria Faleiros,C1:LOSE,138967,Execução de Serviço | Redes Sociais - Cervejaria Faleiros,523,2025-08-14T16:38:04-03:00,5
118155,Cervejaria Faleiros,C1:LOSE,138969,Execução de Serviço | Landing Page - Tráfego Pago - Cervejaria Faleiros,519,2025-08-14T16:38:05-03:00,5
119607,Broeder & Nho,C1:LOSE,140619,Execução de Serviço | Landing Page - Tráfego Pago - Broeder & Nho,519,2025-08-21T14:04:54-03:00,5
119611,Broeder & Nho,C1:LOSE,140621,Execução de Serviço | Gestão de Conteúdo - Broeder & Nho,523,2025-08-21T14:06:50-03:00,5
122413,Jhonatan Ribeiro ,C1:LOSE,141237,Execução de Serviço | Gestão de Conteúdo - Jhonatan Ribeiro,523,2025-08-22T16:37:49-03:00,5
125125,Gusto Boost,C1:LOSE,142471,Execução de Serviço | Landing Page - Tráfego Pago - Gusto Boost,519,2025-08-27T16:01:07-03:00,5
126133,Conectom,C1:LOSE,144023,Execução de Serviço | Landing Page - Tráfego Pago - Conectom,519,2025-09-01T18:10:37-03:00,5
128603,Ar Telecomunicações,C1:LOSE,144547,Execução de Serviço | Landing Page - Tráfego Pago - Ar Telecomunicações,519,2025-09-03T17:42:07-03:00,5
133579,Dr Neto,C1:LOSE,148235,Execução de Serviço | Redes Sociais - Dr Neto,523,2025-09-18T16:33:59-03:00,5
133579,Dr Neto,C1:LOSE,148237,Execução de Serviço | Landing Page - Tráfego Pago - Dr Neto,519,2025-09-18T16:34:00-03:00,5
136357,GT Paletes,C1:LOSE,149175,Execução de Serviço | Site - GT Paletes,513,2025-09-22T18:02:51-03:00,5
141409,Luzia Ap Andrade da Costa,C1:LOSE,151301,Execução de Serviço | Landing Page - Tráfego Pago - Luzia Ap Andrade da Costa,519,2025-10-01T09:09:03-03:00,5
141529,D' Fattori Esfirraria e Pizzaria,C1:LOSE,153201,Execução de Serviço | Landing Page - Tráfego Pago - D' Fattori Esfirraria e Pizzaria,519,2025-10-08T17:33:06-03:00,5
145515,Evoe Makeup,C1:LOSE,154583,Execução de Serviço | Landing Page - Tráfego Pago - Evoe Makeup,519,2025-10-14T17:39:47-03:00,5
146839,A Casa do Barão Festas e Eventos,C1:LOSE,156327,Execução de Serviço | Redes Sociais - A Casa do Barão Festas e Eventos,523,2025-10-21T09:40:15-03:00,5
146839,A Casa do Barão Festas e Eventos,C1:LOSE,156329,Execução de Serviço | Landing Page - Tráfego Pago - A Casa do Barão Festas e Eventos,519,2025-10-21T09:40:16-03:00,5
